"SimulationNo","PercentVar","Rhat_k","Rhat_l","Rhat_s"
"106Mcmc.Rdata","Var_001",1.00993496423998,0.999474631986442,1.00967720775608
"10Mcmc.Rdata","Var_001",1.02625712018294,0.999891235080413,1.02309294235722
"118Mcmc.Rdata","Var_001",1.00669902803277,0.999387363174641,1.00582550023459
"130Mcmc.Rdata","Var_001",1.00085790836775,0.999254057972141,1.00095996355326
"142Mcmc.Rdata","Var_001",1.03270019097114,1.00012413871112,1.03157796407528
"154Mcmc.Rdata","Var_001",1.01698689828768,0.999652551843377,1.01454892120692
"166Mcmc.Rdata","Var_001",1.02535689512589,0.999859212298355,1.02608678357038
"178Mcmc.Rdata","Var_001",1.02564721404068,0.999878550250355,1.02605587809743
"190Mcmc.Rdata","Var_001",1.00351113149666,0.999313294503337,1.00242425503572
"202Mcmc.Rdata","Var_001",1.00306506706267,0.999304709471651,1.00204212692325
"214Mcmc.Rdata","Var_001",1.00309993263997,0.999321734719713,1.00370340163479
"226Mcmc.Rdata","Var_001",1.00404398650458,0.999316389711497,1.00367416893909
"22Mcmc.Rdata","Var_001",1.00220862422282,0.999253750064357,1.00263693082869
"238Mcmc.Rdata","Var_001",1.00036429084878,0.999229907975004,1.00036988016131
"250Mcmc.Rdata","Var_001",1.04569241140769,1.00036168309084,1.04195695668143
"262Mcmc.Rdata","Var_001",1.01785294139684,0.999669121510131,1.01851767696011
"274Mcmc.Rdata","Var_001",1.00865322389445,0.999455326195129,1.00955362717908
"286Mcmc.Rdata","Var_001",1.01404132583646,0.999609371440129,1.01658421978523
"298Mcmc.Rdata","Var_001",1.00576953100209,0.999359891534086,1.00560272077381
"310Mcmc.Rdata","Var_001",1.01333815479672,0.999599218317288,1.01233319412394
"322Mcmc.Rdata","Var_001",1.01329165546326,0.99957142471425,1.01483621319538
"334Mcmc.Rdata","Var_001",1.02072181436563,0.999761697524861,1.02078255056578
"346Mcmc.Rdata","Var_001",1.00374985995311,0.999293743866057,1.00399098990132
"34Mcmc.Rdata","Var_001",1.00369713748584,0.999324770424603,1.00297373210233
"358Mcmc.Rdata","Var_001",1.02202208594204,0.999788715497549,1.01965945799892
"370Mcmc.Rdata","Var_001",1.0116020754294,0.999508853772014,1.01157083076456
"382Mcmc.Rdata","Var_001",1.00135300879837,0.999275593288168,1.00191819190256
"394Mcmc.Rdata","Var_001",1.00145384680345,0.999257511519214,1.0016298532418
"406Mcmc.Rdata","Var_001",1.00468149372003,0.999330416433593,1.00450068335472
"418Mcmc.Rdata","Var_001",1.01588054966203,0.999642802736782,1.01422485105883
"430Mcmc.Rdata","Var_001",1.00584331949826,0.99935811393609,1.00446105242785
"442Mcmc.Rdata","Var_001",1.00576881898406,0.999365017868587,1.0069117198914
"454Mcmc.Rdata","Var_001",1.00249756663109,0.999287090322804,1.00265294331005
"466Mcmc.Rdata","Var_001",1.03186288332477,1.00003071199474,1.02555593472477
"46Mcmc.Rdata","Var_001",1.00921989072873,0.999484703813898,1.00780582033166
"478Mcmc.Rdata","Var_001",1.00456314979984,0.999369016776742,1.00597296765078
"490Mcmc.Rdata","Var_001",1.01269145018607,0.999550991070361,1.0122258508997
"502Mcmc.Rdata","Var_001",1.00120824494103,0.999257242547875,1.00167300955064
"514Mcmc.Rdata","Var_001",1.00887328269212,0.999457648933381,1.00874237365798
"526Mcmc.Rdata","Var_001",1.00428826977518,0.999324152615909,1.00409365821612
"538Mcmc.Rdata","Var_001",1.00025820088056,0.999235538178216,0.99977998185877
"550Mcmc.Rdata","Var_001",1.00397647178407,0.999328761503431,1.00353032448454
"562Mcmc.Rdata","Var_001",1.00848826718428,0.999538819177593,1.00905446291847
"574Mcmc.Rdata","Var_001",1.00083010946016,0.999237366378706,1.0005311726606
"586Mcmc.Rdata","Var_001",1.01720441935917,0.999668787260215,1.01744834358841
"58Mcmc.Rdata","Var_001",1.01470797391373,0.999606218905837,1.01261645795399
"598Mcmc.Rdata","Var_001",1.00300860006598,0.999285334826455,1.0029284844434
"610Mcmc.Rdata","Var_001",1.00336545797104,0.999320139832802,1.00286022985101
"622Mcmc.Rdata","Var_001",1.0212936258078,0.999782632756783,1.01946219888426
"634Mcmc.Rdata","Var_001",1.0137498840611,0.999595561326673,1.01329396159794
"646Mcmc.Rdata","Var_001",1.00582426057168,0.999351765146151,1.00647981268361
"658Mcmc.Rdata","Var_001",1.01321701889025,0.999572384270193,1.01284131887611
"670Mcmc.Rdata","Var_001",1.01348162889321,0.999665743552181,1.01581287953583
"682Mcmc.Rdata","Var_001",1.00213946767818,0.99927516341032,1.0015385056531
"694Mcmc.Rdata","Var_001",1.00715240053549,0.999373250983262,1.00705937277454
"706Mcmc.Rdata","Var_001",1.03704879812873,1.00017120214827,1.03227751551379
"70Mcmc.Rdata","Var_001",1.01908824020093,0.999776878352713,1.01962632968278
"718Mcmc.Rdata","Var_001",1.00727762180093,0.999394531049477,1.00684227701088
"730Mcmc.Rdata","Var_001",1.055992430218,1.00071722121186,1.06073380131177
"742Mcmc.Rdata","Var_001",1.00769574689175,0.999384915882719,1.00722136885584
"754Mcmc.Rdata","Var_001",1.00515464243785,0.999381822585644,1.00507673228228
"766Mcmc.Rdata","Var_001",1.00466347233873,0.999332989308199,1.00466465198638
"778Mcmc.Rdata","Var_001",1.00794457463042,0.9994234067649,1.00792354605655
"790Mcmc.Rdata","Var_001",1.01960549317026,0.999671867464399,1.01930481231229
"802Mcmc.Rdata","Var_001",1.01595128163311,0.999602634965641,1.01499314484385
"814Mcmc.Rdata","Var_001",1.00419149755708,0.999305944143361,1.00406204485974
"826Mcmc.Rdata","Var_001",1.00124325308435,0.999245868663861,1.00064482836044
"82Mcmc.Rdata","Var_001",1.00625459855008,0.999370434641596,1.00586163291286
"838Mcmc.Rdata","Var_001",1.01423923365397,0.999669662313417,1.01908931694802
"850Mcmc.Rdata","Var_001",1.00540641852058,0.999357934248235,1.00476738301389
"862Mcmc.Rdata","Var_001",1.01811585358156,0.999672486521178,1.01567757123522
"874Mcmc.Rdata","Var_001",1.04447993916172,1.00036894315469,1.04637106263455
"886Mcmc.Rdata","Var_001",1.01297930957537,0.999585080387508,1.01513359107726
"898Mcmc.Rdata","Var_001",1.010288669007,0.999545386145333,1.01225532793617
"910Mcmc.Rdata","Var_001",1.0409179680281,1.00020758510887,1.04033589418996
"922Mcmc.Rdata","Var_001",1.00715805324676,0.999399613371499,1.00585015626997
"934Mcmc.Rdata","Var_001",1.02280664667648,0.999814581382915,1.02133961106719
"946Mcmc.Rdata","Var_001",1.00276649650631,0.999292986809148,1.00320045114792
"94Mcmc.Rdata","Var_001",1.00517888246094,0.999358171290908,1.00443546778047
"958Mcmc.Rdata","Var_001",1.00344209991329,0.999307186202981,1.00470535795875
"970Mcmc.Rdata","Var_001",1.01294362541441,0.999525563339962,1.00981314683036
"982Mcmc.Rdata","Var_001",1.00023077865209,0.999233009228308,0.99998537003615
"994Mcmc.Rdata","Var_001",1.00103051008908,0.999244194930685,1.00115619385731
"107Mcmc.Rdata","Var_001",1.0149171571562,0.999567079821672,1.01491731526762
"119Mcmc.Rdata","Var_001",1.00397255349694,0.999328130894456,1.00343804474369
"11Mcmc.Rdata","Var_001",1.00483933977925,0.999323632866141,1.0048425010682
"131Mcmc.Rdata","Var_001",1.01137047986407,0.999507026051572,1.01094375118645
"143Mcmc.Rdata","Var_001",1.01702166604127,0.99968416160747,1.01858329081628
"155Mcmc.Rdata","Var_001",1.00715591987474,0.999452678020418,1.00827603783719
"167Mcmc.Rdata","Var_001",1.01565890437294,0.99968005586309,1.01662786755026
"179Mcmc.Rdata","Var_001",1.00973619631994,0.999467692486949,1.01054631591929
"191Mcmc.Rdata","Var_001",1.01622589593712,0.999626300395202,1.01740709713753
"203Mcmc.Rdata","Var_001",1.00209259775795,0.999256960128464,1.00247398054755
"215Mcmc.Rdata","Var_001",1.01152842896853,0.999522776601931,1.01018787829635
"227Mcmc.Rdata","Var_001",1.00691617019321,0.999435364604644,1.00660385008636
"239Mcmc.Rdata","Var_001",1.00057932259891,0.999240900192227,1.00053210901257
"23Mcmc.Rdata","Var_001",1.01064561986706,0.99948230118649,1.01154307760721
"251Mcmc.Rdata","Var_001",1.00301164340695,0.999287454393865,1.00233694618107
"263Mcmc.Rdata","Var_001",1.03886385363688,1.00020246741194,1.03575419902301
"275Mcmc.Rdata","Var_001",1.00619602720291,0.999353945063729,1.00745427301272
"287Mcmc.Rdata","Var_001",1.00149282777231,0.999254703686097,1.00072799762301
"299Mcmc.Rdata","Var_001",1.0031508129296,0.999311404189033,1.0030162411814
"311Mcmc.Rdata","Var_001",1.02099129969042,0.99971811697934,1.02137936735187
"323Mcmc.Rdata","Var_001",1.00276887661448,0.999290445559906,1.00199368488718
"335Mcmc.Rdata","Var_001",1.00227365086489,0.999277897471626,1.00208990492272
"347Mcmc.Rdata","Var_001",1.02638831620565,0.999841111954459,1.0260109447148
"359Mcmc.Rdata","Var_001",1.0046242058943,0.999343068736102,1.00439565440736
"35Mcmc.Rdata","Var_001",0.999576672056525,0.99920938911517,0.999517661072272
"371Mcmc.Rdata","Var_001",1.02017567031528,0.999672005541059,1.01692177333684
"383Mcmc.Rdata","Var_001",1.00330597532174,0.999292110626294,1.00340764950714
"395Mcmc.Rdata","Var_001",1.01117921182687,0.999516587754523,1.01148127611114
"407Mcmc.Rdata","Var_001",1.00026755527096,0.999234663380531,1.00015674626048
"419Mcmc.Rdata","Var_001",1.00144218844423,0.999276488402833,1.00176209312502
"431Mcmc.Rdata","Var_001",1.00793549866882,0.999417779524901,1.00672862212991
"443Mcmc.Rdata","Var_001",1.00332132812122,0.999301275715475,1.00332890758943
