"PercentVar","SimulationNo","k_Mean","lambda_Mean","start_Mean","k_HDIlow","lambda_HDIlow","start_HDIlow","k_HDIhigh","lambda_HDIhigh","start_HDIhigh"
"Var_01","153SummaryInfo.csv",5.544659828,0.325228762,7.779297367,3.71647,0.262056,4.64564,7.68567,0.392297,10.2811
"Var_01","154SummaryInfo.csv",8.098932008,0.394224324,4.110235260374,5.44669,0.320059,0.259221,11.2964,0.473298,7.33561
"Var_01","155SummaryInfo.csv",4.550374112,0.2913668318,8.760064994,3.19787,0.239932,6.35521,6.03526,0.34281,10.8377
"Var_01","156SummaryInfo.csv",6.439271034,0.3635604882,6.7058664726,4.30477,0.295149,3.42898,9.02338,0.440305,9.55373
"Var_01","157SummaryInfo.csv",6.353111682,0.353712581,6.27705298394,4.04905,0.280671,2.73056,8.94776,0.426472,9.25065
"Var_01","158SummaryInfo.csv",7.293328296,0.3715497936,5.20605526378,4.64264,0.297727,1.22195,10.6487,0.463343,8.77222
"Var_01","159SummaryInfo.csv",8.737527652,0.4187843174,3.91337422097,5.76261,0.336719,0.221622,11.9577,0.49792,7.27321
"Var_01","15SummaryInfo.csv",8.59014016,0.4385590142,4.4680374185828,5.68711,0.353149,0.623564,12.1679,0.526542,7.83038
"Var_01","160SummaryInfo.csv",7.578831132,0.387806884,5.29030779314,4.76456,0.311472,1.25997,10.9534,0.480754,8.82472
"Var_01","161SummaryInfo.csv",7.425557062,0.3849054368,5.473681943978,4.76511,0.309079,1.30801,10.958,0.480013,8.7915
"Var_01","162SummaryInfo.csv",9.63264403,0.430582962,2.3583577273202,6.99828,0.364421,0.000204363,11.9595,0.490613,5.27966
"Var_01","163SummaryInfo.csv",4.571746182,0.2920753928,9.375140154,3.32432,0.245206,7.21832,5.986,0.344022,11.2909
"Var_01","164SummaryInfo.csv",10.331780338,0.4761610374,2.457944378406,7.60513,0.402249,0.00879068,12.9919,0.541229,5.31755
"Var_01","165SummaryInfo.csv",8.679762308,0.4148674342,3.906869464576,5.76145,0.335854,0.101889,11.9644,0.49817,7.16286
"Var_01","166SummaryInfo.csv",4.156850806,0.2713339564,9.407424346,2.91237,0.223585,7.12511,5.47536,0.318716,11.377
"Var_01","167SummaryInfo.csv",4.889782794,0.3249227106,9.447603004,3.62672,0.274532,7.43681,6.35927,0.376978,11.2763
"Var_01","168SummaryInfo.csv",8.678763188,0.4090952256,3.62276138229,5.98084,0.334322,0.0095536,11.8166,0.484717,6.70907
"Var_01","169SummaryInfo.csv",7.995436928,0.400558655,4.327680624264,5.35695,0.325105,0.365242,11.378,0.486291,7.55796
"Var_01","16SummaryInfo.csv",5.849361522,0.3481659374,7.215606989,3.89711,0.280555,4.05207,8.23199,0.419618,9.94944
"Var_01","170SummaryInfo.csv",6.708727678,0.3573119012,5.592801057042,4.29085,0.283603,1.54512,9.89631,0.443904,9.06742
"Var_01","171SummaryInfo.csv",10.596530242,0.4650836428,1.76377782310186,8.11736,0.401491,2.18093e-05,12.5746,0.515647,4.31096
"Var_01","172SummaryInfo.csv",6.453472288,0.3689712816,6.8770874882,4.17885,0.299354,3.72032,9.03352,0.449235,9.89505
"Var_01","173SummaryInfo.csv",9.054668006,0.433177966,3.0323758174282,6.30512,0.355981,0.000375799,11.9032,0.503711,6.15644
"Var_01","174SummaryInfo.csv",6.634976452,0.3806262448,6.4924398398432,4.16637,0.305058,2.82961,9.44777,0.464609,9.5638
"Var_01","175SummaryInfo.csv",6.885834078,0.3433236432,4.608997599588,4.56628,0.277159,0.66603,9.91765,0.42086,8.04568
