"PercentVar","SimulationNo","k_Mean","lambda_Mean","start_Mean","k_HDIlow","lambda_HDIlow","start_HDIlow","k_HDIhigh","lambda_HDIhigh","start_HDIhigh"
"Var_01","383SummaryInfo.csv",7.491093876,0.4239844434,6.479937110744,4.87241,0.340593,2.75703,10.9275,0.521379,9.53855
"Var_01","384SummaryInfo.csv",12.908337786,0.573239036,1.6158640381248,10.0508,0.501219,0.000573584,15.1997,0.634307,4.07854
"Var_01","385SummaryInfo.csv",14.254557474,0.6226794108,1.154079543753,11.6389,0.556721,0.000491379,16.2018,0.675605,3.12997
"Var_01","386SummaryInfo.csv",12.30229701,0.555375971,1.85549806965,9.33139,0.481782,0.00104096,14.7316,0.619361,4.38401
"Var_01","387SummaryInfo.csv",11.8270217,0.5410648344,2.1766388518058,8.73962,0.454217,0.000464383,14.5209,0.603955,4.94916
"Var_01","388SummaryInfo.csv",13.025872246,0.5979023704,2.2131680126284,9.63018,0.512035,0.000570186,15.9836,0.674578,4.95512
"Var_01","389SummaryInfo.csv",14.216961958,0.6184493094,1.03755650647504,11.8419,0.559565,5.30802e-05,15.9761,0.669075,2.83015
"Var_01","38SummaryInfo.csv",12.330289102,0.571593398,2.2830006256692,9.0689,0.487025,0.000955896,15.267,0.64712,5.10856
"Var_01","390SummaryInfo.csv",8.245052314,0.4450897104,5.345550259,5.24586,0.3537,1.11365,12.1029,0.547262,8.52304
"Var_01","391SummaryInfo.csv",9.8685653,0.4905566354,3.981255684886,6.44878,0.39579,0.289317,13.4901,0.582498,7.28855
"Var_01","392SummaryInfo.csv",5.209087806,0.3336243082,8.6247159718,3.55154,0.271818,6.21021,6.95776,0.393989,11.0178
"Var_01","393SummaryInfo.csv",8.530523716,0.4666102344,5.69100207434,5.28336,0.369228,1.84303,12.2096,0.568443,8.96636
"Var_01","394SummaryInfo.csv",13.325501002,0.5957048024,1.3899933988824,10.516,0.528276,0.000836854,15.2894,0.652948,3.61133
"Var_01","395SummaryInfo.csv",12.384592806,0.5704467808,2.08679757877132,9.21658,0.489323,5.43613e-05,15.0666,0.641055,4.80017
"Var_01","396SummaryInfo.csv",10.929971504,0.5195061708,3.426478804754,7.4427,0.425024,0.00200915,14.5692,0.607633,6.53809
"Var_01","397SummaryInfo.csv",12.406345442,0.561939663,2.111761908832,9.25306,0.481054,0.00167702,15.1191,0.631879,4.80269
"Var_01","398SummaryInfo.csv",10.751856686,0.5371895988,4.0278513104218,7.15979,0.441107,0.461876,14.7248,0.640873,7.29745
"Var_01","399SummaryInfo.csv",12.25239418,0.565238535,2.6357484991388,8.75145,0.470466,0.0058113,15.4961,0.642946,5.59697
"Var_01","39SummaryInfo.csv",10.06531999,0.4899296308,3.8614601140144,6.81439,0.400671,0.185377,13.9359,0.586388,7.14874
"Var_01","3SummaryInfo.csv",11.432981218,0.5309725134,2.7429814606264,7.99944,0.442516,0.00494836,14.4734,0.607993,5.72933
"Var_01","400SummaryInfo.csv",10.86846122,0.5116253026,2.9193648279244,7.52891,0.424454,0.00232786,13.9328,0.590562,5.96219
"Var_01","401SummaryInfo.csv",10.570156734,0.5247942228,4.123913678138,7.15559,0.430676,0.429609,14.6813,0.628058,7.37569
"Var_01","402SummaryInfo.csv",8.51547695,0.4586054348,5.65206754474,5.49029,0.368465,1.98873,12.003,0.554044,8.80961
"Var_01","403SummaryInfo.csv",9.010612112,0.4639266108,4.923963467216,5.63137,0.369132,0.911348,12.9701,0.570122,8.5278
"Var_01","404SummaryInfo.csv",13.051219476,0.576824551,1.5197032870066,10.2711,0.509214,0.000166297,15.2445,0.637646,3.84068
"Var_01","405SummaryInfo.csv",13.817349846,0.6147679246,1.37890267616912,11.0589,0.548439,0.000929021,15.9274,0.675082,3.55473
"Var_01","406SummaryInfo.csv",12.67885934,0.5739046534,1.850983217686,9.57303,0.493892,0.00241284,15.1656,0.638746,4.46393
"Var_01","407SummaryInfo.csv",7.787952372,0.4317653756,6.0301596664836,5.03782,0.346691,2.18283,11.3734,0.5319,9.18097
"Var_01","408SummaryInfo.csv",11.08918546,0.5101212134,2.510377956082,7.79355,0.424175,0.00327724,13.9042,0.581055,5.65127
"Var_01","409SummaryInfo.csv",10.7346341,0.5151065556,2.97786129051,7.40354,0.423465,0.00405643,13.9644,0.595617,6.11846
"Var_01","40SummaryInfo.csv",13.139241228,0.5774047174,1.39144660019822,10.5612,0.511787,0.000564375,15.1808,0.631811,3.52423
"Var_01","410SummaryInfo.csv",8.815124904,0.4657923792,5.26849460594,5.74548,0.3779,1.33872,12.4499,0.564114,8.29841
"Var_01","411SummaryInfo.csv",13.894160282,0.6073377716,1.28716564693498,11.1008,0.536788,1.27774e-05,15.8931,0.659448,3.39637
"Var_01","412SummaryInfo.csv",9.690698206,0.4804644264,3.939343858702,6.53945,0.390011,0.127271,13.5094,0.572559,7.13213
"Var_01","413SummaryInfo.csv",9.845730658,0.50087303,4.27416860246,6.32497,0.404917,0.452898,13.6214,0.600767,7.57449
"Var_01","414SummaryInfo.csv",8.246568198,0.4463948026,5.7308939866,5.27877,0.358153,1.72667,12.1052,0.553064,9.0674
"Var_01","415SummaryInfo.csv",12.735075878,0.572008493,1.451444127102,10.2121,0.505563,0.00181797,14.8251,0.626436,3.60487
"Var_01","416SummaryInfo.csv",5.845345846,0.371249362,8.624212496,4.07867,0.308362,6.16881,7.82875,0.441116,10.8525
"Var_01","417SummaryInfo.csv",9.256874732,0.4820108522,4.93760313476,5.70678,0.386342,1.11777,13.1688,0.59335,8.65006
"Var_01","418SummaryInfo.csv",12.121416342,0.5478556018,1.967463239272,9.11709,0.465494,0.00141467,14.7195,0.6106,4.66754
"Var_01","419SummaryInfo.csv",8.041010286,0.435741949,5.759796859236,5.11831,0.350782,2.39578,11.183,0.526312,9.05994
"Var_01","41SummaryInfo.csv",12.062553052,0.5600425652,2.495043465598,8.61821,0.472614,0.00474133,15.0345,0.637056,5.3715
"Var_01","420SummaryInfo.csv",13.262459556,0.5792253006,1.05418580343014,10.9593,0.520243,2.19857e-05,14.9352,0.626112,2.89391
"Var_01","421SummaryInfo.csv",10.135711264,0.4858533654,3.474331210736,6.7847,0.398906,0.00412025,13.5558,0.574362,6.65518
"Var_01","422SummaryInfo.csv",12.495061728,0.5481401226,1.1938850165042,10.1813,0.489557,0.000294026,14.2542,0.596474,3.19674
"Var_01","423SummaryInfo.csv",10.67549028,0.5116589524,3.596482179664,7.22601,0.420637,0.138373,14.3545,0.604592,6.83689
"Var_01","424SummaryInfo.csv",12.666221186,0.5595168356,1.1691880033386,10.3147,0.50282,0.000306187,14.421,0.60978,3.14967
"Var_01","425SummaryInfo.csv",10.524199582,0.5069922432,3.69825401422,7.18534,0.415279,0.0596648,14.3904,0.601171,6.76521
"Var_01","426SummaryInfo.csv",11.792048634,0.5315759386,1.7497867515456,8.89881,0.459769,0.000719995,13.9524,0.591677,4.29546
"Var_01","427SummaryInfo.csv",10.75649685,0.4967317452,2.5492121583966,7.77812,0.416911,0.000283949,13.6113,0.567694,5.49855
"Var_01","428SummaryInfo.csv",10.883528464,0.5319587322,3.8461659425,7.39928,0.438504,0.0559086,14.9401,0.634118,6.82388
"Var_01","429SummaryInfo.csv",7.950474756,0.4428049874,6.3049962505,5.25846,0.360591,2.80233,11.1996,0.537974,9.16913
"Var_01","42SummaryInfo.csv",10.682381168,0.5023775536,2.81035221026636,7.57087,0.416321,5.41288e-05,13.7351,0.577006,5.77053
"Var_01","430SummaryInfo.csv",4.749230846,0.3346865588,9.443101404,3.42443,0.280159,7.4271,6.25027,0.390187,11.3412
"Var_01","431SummaryInfo.csv",12.573178394,0.5719615002,1.625967920136,9.72724,0.498364,0.000142141,14.7584,0.62981,4.01867
"Var_01","432SummaryInfo.csv",9.149316588,0.4691977766,4.483790111278,5.89643,0.381634,0.700975,12.8493,0.568153,7.87018
"Var_01","433SummaryInfo.csv",11.98533645,0.5465156314,1.879641902816,9.05983,0.471836,0.000813781,14.3992,0.610639,4.49583
"Var_01","434SummaryInfo.csv",12.266073936,0.5336455918,1.301975670241,9.87937,0.471746,8.6993e-05,14.0719,0.580242,3.39309
