"SimulationNo","PercentVar","Rhat_k","Rhat_l","Rhat_s"
"106Mcmc.Rdata","Var_001",1.02042888192522,0.999732075927769,1.01745813222803
"10Mcmc.Rdata","Var_001",1.01128972572587,0.999518257346236,1.01200817970521
"118Mcmc.Rdata","Var_001",1.03207283980013,1.00004657852363,1.02624663654666
"130Mcmc.Rdata","Var_001",0.999913090837036,0.999212082745305,0.999951274009054
"142Mcmc.Rdata","Var_001",1.01994673627054,0.999801693554787,1.01963716083126
"154Mcmc.Rdata","Var_001",1.00840152202106,0.999393456822481,1.00859937852803
"166Mcmc.Rdata","Var_001",1.0026455141748,0.999263987447146,1.00314135184058
"178Mcmc.Rdata","Var_001",1.00099824659881,0.999255946632729,1.00031508423149
"190Mcmc.Rdata","Var_001",1.0024550010471,0.999277767276128,1.00279045581059
"202Mcmc.Rdata","Var_001",1.0000297797891,0.999218162536285,0.99999146039531
"214Mcmc.Rdata","Var_001",1.00423952679831,0.999345400889221,1.00531451195263
"226Mcmc.Rdata","Var_001",1.00616805548752,0.999402004140974,1.00607944287494
"22Mcmc.Rdata","Var_001",1.02544140889504,0.999866784067205,1.02586025564611
"238Mcmc.Rdata","Var_001",1.01192615820049,0.99950962031858,1.01256859436447
"250Mcmc.Rdata","Var_001",1.07252880558318,1.00112326598344,1.06826654949258
"262Mcmc.Rdata","Var_001",1.01716087573561,0.999711148451608,1.01432635899252
"274Mcmc.Rdata","Var_001",1.00800797412656,0.999423177053066,1.00727354377652
"286Mcmc.Rdata","Var_001",1.00223891895028,0.999280678393242,1.00151772295736
"298Mcmc.Rdata","Var_001",1.01186979843844,0.999511604395621,1.01000563131823
"310Mcmc.Rdata","Var_001",1.0105558236726,0.999498148103755,1.00928372969279
"322Mcmc.Rdata","Var_001",0.999451880252046,0.99921235702943,0.999366066222174
"334Mcmc.Rdata","Var_001",1.0023715627399,0.999272204817343,1.00156930332816
"346Mcmc.Rdata","Var_001",1.00218199904714,0.999296336934738,1.00222766594973
"34Mcmc.Rdata","Var_001",0.999994025691293,0.999220964834197,0.999933585846835
"358Mcmc.Rdata","Var_001",1.03119085221247,1.0000785034609,1.03138723938088
"370Mcmc.Rdata","Var_001",1.03253926644249,1.00014757006262,1.03347616209296
"382Mcmc.Rdata","Var_001",1.00898629399525,0.999448658640581,1.00610482528604
"394Mcmc.Rdata","Var_001",1.0236181921957,0.999781899052291,1.02504417614928
"406Mcmc.Rdata","Var_001",1.00625242688622,0.999392139168293,1.00610148226846
"418Mcmc.Rdata","Var_001",1.00750606167865,0.999369463531249,1.00767442870267
"430Mcmc.Rdata","Var_001",1.00020993433423,0.999233302461131,1.00062932505991
"442Mcmc.Rdata","Var_001",1.00720549178058,0.999381101207083,1.00730534168517
"454Mcmc.Rdata","Var_001",1.01237516012286,0.999539307754158,1.01059997337936
"466Mcmc.Rdata","Var_001",1.00957268797207,0.999457754469847,1.0107798928515
"46Mcmc.Rdata","Var_001",1.00075963419806,0.999233139483617,1.00042333031546
"478Mcmc.Rdata","Var_001",1.00419143591742,0.999318595132735,1.00348163818253
"490Mcmc.Rdata","Var_001",1.00147208080466,0.999254054558561,1.00116154705753
"502Mcmc.Rdata","Var_001",1.00497814844049,0.999346950009413,1.00391345137695
"514Mcmc.Rdata","Var_001",1.01374020242344,0.999563755828159,1.01200112741456
"526Mcmc.Rdata","Var_001",1.01087706592993,0.999464904273085,1.01083701152227
"538Mcmc.Rdata","Var_001",1.00837803108167,0.99945160674531,1.00641776851934
"550Mcmc.Rdata","Var_001",1.01483747895213,0.999603603466167,1.01701559185404
"562Mcmc.Rdata","Var_001",1.00428356943461,0.999338622319237,1.00409135398207
"574Mcmc.Rdata","Var_001",1.0080958344253,0.99947043542623,1.00929125098586
